Frontispice	NOUN	frontispice
épouvantail	NOUN	épouvantail
pour	ADP	pour
les	DET	le
intellectuels	NOUN	intellectuel
du	ADP	du
meurtre	NOUN	meurtre
...	PUNCT	...
--	PUNCT	--
Sans	NOUN	sans
doute	NOUN	doute
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Mais	CONJ	mais
il	PRON	il
ne	ADV	ne
s'	PRON	se
agit	VERB	agir
pas	ADV	pas
de	ADP	de
cela	PRON	cela
...	PUNCT	...
Vous	NOUN	vous
déplacez	VERB	déplacer
la	DET	le
question	NOUN	question
...	PUNCT	...
Je	PRON	je
disais	VERB	dire
que	CONJ	que
le	DET	le
meurtre	NOUN	meurtre
est	VERB	être
une	DET	un
fonction	NOUN	fonction
normale	ADJ	normal
--	PUNCT	--
et	CONJ	et
non	ADV	non
point	ADV	point
exceptionnelle	ADJ	exceptionnel
--	PUNCT	--
de	ADP	de
la	DET	le
nature	NOUN	nature
et	CONJ	et
de	ADP	de
tout	ADV	tout
être	VERB	être
vivant	NOUN	vivant
.	PUNCT	.
<EOS>	<EOS>	<EOS>
Or	NOUN	or
,	PUNCT	,
il	PRON	il
est	VERB	être
exorbitant	ADJ	exorbitant
que	CONJ	que
,	PUNCT	,
sous	ADP	sous
prétexte	NOUN	prétexte
de	ADP	de
gouverner	VERB	gouverner
les	DET	le
hommes	NOUN	homme
,	PUNCT	,
les	DET	le
sociétés	NOUN	société
se	PRON	se
soient	VERB	être
arrogé	VERB	arroger
le	DET	le
droit	NOUN	droit
exclusif	ADJ	exclusif
de	ADP	de
les	PRON	la|le
tuer	VERB	tuer
,	PUNCT	,
au	ADP	au
détriment	NOUN	détriment
des	ADP	du
individualités	NOUN	individualité
en	ADP	en
qui	PRON	qui
,	PUNCT	,
seules	ADJ	seul
,	PUNCT	,
ce	PRON	ce
droit	NOUN	droit
réside	VERB	résider
.	PUNCT	.
<EOS>	<EOS>	<EOS>
--	PUNCT	--
Fort	ADV	fort
juste	ADJ	juste
!	PUNCT	!
...	PUNCT	...
<EOS>	<EOS>	<EOS>
corrobora	VERB	corroborer
un	DET	un
philosophe	NOUN	philosophe
aimable	ADJ	aimable
et	CONJ	et
verbeux	ADJ	verbeux
,	PUNCT	,
dont	PRON	dont
les	DET	le
leçons	NOUN	leçon
,	PUNCT	,
en	ADP	en
Sorbonne	NOUN	sorbonne
,	PUNCT	,
attirent	VERB	attirer
chaque	PRON	chaque
semaine	NOUN	semaine
un	DET	un
public	NOUN	public
choisi	VERB	choisir
...	PUNCT	...
Notre	NOUN	notre
ami	NOUN	ami
a	VERB	avoir
tout	ADV	tout
à	ADP	à
fait	ADJ	fait
raison	NOUN	raison
...	PUNCT	...
Pour	NOUN	pour
ma	PRON	mon
part	NOUN	part
,	PUNCT	,
je	PRON	je
ne	ADV	ne
crois	VERB	croire
pas	ADV	pas
qu'	CONJ	que
il	PRON	il
existe	VERB	exister
une	DET	un
créature	NOUN	créature
humaine	ADJ	humain
qui	PRON	qui
ne	ADV	ne
soit	CONJ	soit
--	PUNCT	--
virtuellement	ADV	virtuellement
du	ADP	du
moins	ADV	moins
--	PUNCT	--
un	DET	un
assassin	NOUN	assassin
...	PUNCT	...
Tenez	NOUN	tenez
,	PUNCT	,
je	PRON	je
m'	PRON	me
amuse	VERB	amuser
quelquefois	ADV	quelquefois
,	PUNCT	,
dans	ADP	dans
les	DET	le
salons	NOUN	salon
,	PUNCT	,
dans	ADP	dans
les	DET	le
églises	NOUN	église
,	PUNCT	,
dans	ADP	dans
les	DET	le
gares	NOUN	gare
,	PUNCT	,
à	ADP	à
la	DET	le
